scene_id,fire_name,pre_image_path,pre_label_path,post_image_path,post_label_path,polygon_path,n_structures_total,n_major_or_destroyed,segmented,n_polygons,pct_black,pct_segmented,classified,classification_mode,date_time_segmentation,date_time_classification,too_cloudy,capture_date,sensor,gsd,pan_resolution,off_nadir_angle,sun_azimuth,sun_elevation,target_azimuth
pinery_0032,pinery,pinery/images/pinery-bushfire_00000032_pre_disaster.tif,pinery/labels/pinery-bushfire_00000032_pre_disaster.json,pinery/images/pinery-bushfire_00000032_post_disaster.tif,pinery/labels/pinery-bushfire_00000032_post_disaster.json,pinery_0032_polygons.pkl,35,11,TRUE,466,0.002670288,99.39565659,FALSE,,2025-10-08T08:23:01+00:00,,FALSE,2015-01-05T01:06:58.970Z,WORLDVIEW02,1.939264774,0.483834207,10.85801029,68.97932434,64.49820709,108.1458282
santa-rosa_0157,santa-rosa,santa-rosa/images/santa-rosa-wildfire_00000157_pre_disaster.tif,santa-rosa/labels/santa-rosa-wildfire_00000157_pre_disaster.json,santa-rosa/images/santa-rosa-wildfire_00000157_post_disaster.tif,santa-rosa/labels/santa-rosa-wildfire_00000157_post_disaster.json,santa-rosa_0157_polygons.pkl,271,271,TRUE,3428,0.005245209,97.01070786,FALSE,,2025-10-08T08:44:36+00:00,,FALSE,2017-06-21T19:09:01.000Z,GEOEYE01,1.6719055,0.41795498,5.6724772,132.81532,69.88837,64.90461
woolsey_0093,woolsey,woolsey/images/woolsey-fire_00000093_pre_disaster.tif,woolsey/labels/woolsey-fire_00000093_pre_disaster.json,woolsey/images/woolsey-fire_00000093_post_disaster.tif,woolsey/labels/woolsey-fire_00000093_post_disaster.json,woolsey_0093_polygons.pkl,97,67,TRUE,1782,0.314426422,98.30722809,FALSE,,2025-10-08T09:05:10+00:00,,FALSE,2018-10-23T18:51:02.000Z,WORLDVIEW02,1.9894955,0.49831286,15.396526,163.75761,42.6674,333.2746
portugal_1620,portugal,portugal/images/portugal-wildfire_00001620_pre_disaster.tif,portugal/labels/portugal-wildfire_00001620_pre_disaster.json,portugal/images/portugal-wildfire_00001620_post_disaster.tif,portugal/labels/portugal-wildfire_00001620_post_disaster.json,portugal_1620_polygons.pkl,88,42,TRUE,2099,0.163269043,97.86090851,FALSE,,2025-10-08T09:26:00+00:00,,FALSE,2016-07-23T11:45:28.000Z,WORLDVIEW02,2.30652213,0.57560611,27.32622719,145.2911682,67.47275543,73.75780487
socal_0937,socal,socal/images/socal-fire_00000937_pre_disaster.tif,socal/labels/socal-fire_00000937_pre_disaster.json,socal/images/socal-fire_00000937_post_disaster.tif,socal/labels/socal-fire_00000937_post_disaster.json,socal_0937_polygons.pkl,69,35,TRUE,1925,13.46988678,85.10837555,FALSE,,2025-10-08T20:09:55+00:00,,TRUE,2018-10-23T18:51:02.000Z,WORLDVIEW02,1.9894955,0.49831286,15.396526,163.75761,42.6674,333.2746
pinery_0383,pinery,pinery/images/pinery-bushfire_00000383_pre_disaster.tif,pinery/labels/pinery-bushfire_00000383_pre_disaster.json,pinery/images/pinery-bushfire_00000383_post_disaster.tif,pinery/labels/pinery-bushfire_00000383_post_disaster.json,pinery_0383_polygons.pkl,22,10,TRUE,626,0.012016296,99.30372238,FALSE,,2025-10-08T10:06:49+00:00,,FALSE,2015-01-05T01:06:58.970Z,WORLDVIEW02,1.939264774,0.483834207,10.85801029,68.97932434,64.49820709,108.1458282
santa-rosa_0063,santa-rosa,santa-rosa/images/santa-rosa-wildfire_00000063_pre_disaster.tif,santa-rosa/labels/santa-rosa-wildfire_00000063_pre_disaster.json,santa-rosa/images/santa-rosa-wildfire_00000063_post_disaster.tif,santa-rosa/labels/santa-rosa-wildfire_00000063_post_disaster.json,santa-rosa_0063_polygons.pkl,236,207,TRUE,3547,0.002384186,96.85945511,FALSE,,2025-10-08T10:28:25+00:00,,FALSE,2017-06-21T19:09:01.000Z,GEOEYE01,1.6719055,0.41795498,5.6724772,132.81532,69.88837,64.90461
woolsey_0598,woolsey,woolsey/images/woolsey-fire_00000598_pre_disaster.tif,woolsey/labels/woolsey-fire_00000598_pre_disaster.json,woolsey/images/woolsey-fire_00000598_post_disaster.tif,woolsey/labels/woolsey-fire_00000598_post_disaster.json,woolsey_0598_polygons.pkl,83,58,TRUE,1545,0.040721893,98.45991135,FALSE,,2025-10-08T10:48:58+00:00,,TRUE,2018-10-23T18:51:02.000Z,WORLDVIEW02,1.9894955,0.49831286,15.396526,163.75761,42.6674,333.2746
portugal_1739,portugal,portugal/images/portugal-wildfire_00001739_pre_disaster.tif,portugal/labels/portugal-wildfire_00001739_pre_disaster.json,portugal/images/portugal-wildfire_00001739_post_disaster.tif,portugal/labels/portugal-wildfire_00001739_post_disaster.json,portugal_1739_polygons.pkl,67,38,TRUE,1482,0.47492981,98.03514481,FALSE,,2025-10-08T11:09:28+00:00,,FALSE,2016-07-23T11:45:28.000Z,WORLDVIEW02,2.30652213,0.57560611,27.32622719,145.2911682,67.47275543,73.75780487
socal_0817,socal,socal/images/socal-fire_00000817_pre_disaster.tif,socal/labels/socal-fire_00000817_pre_disaster.json,socal/images/socal-fire_00000817_post_disaster.tif,socal/labels/socal-fire_00000817_post_disaster.json,socal_0817_polygons.pkl,96,31,TRUE,2028,0.23021698,97.90678024,FALSE,,2025-10-09T12:35:41+00:00,,FALSE,2018-10-23T18:51:02.000Z,WORLDVIEW02,1.9894955,0.49831286,15.396526,163.75761,42.6674,333.2746
pinery_0709,pinery,pinery/images/pinery-bushfire_00000709_pre_disaster.tif,pinery/labels/pinery-bushfire_00000709_pre_disaster.json,pinery/images/pinery-bushfire_00000709_post_disaster.tif,pinery/labels/pinery-bushfire_00000709_post_disaster.json,pinery_0709_polygons.pkl,26,9,TRUE,366,0.005245209,99.45631027,FALSE,,2025-10-08T11:50:15+00:00,,FALSE,2015-01-05T01:06:58.970Z,WORLDVIEW02,1.939264774,0.483834207,10.85801029,68.97932434,64.49820709,108.1458282
santa-rosa_0084,santa-rosa,santa-rosa/images/santa-rosa-wildfire_00000084_pre_disaster.tif,santa-rosa/labels/santa-rosa-wildfire_00000084_pre_disaster.json,santa-rosa/images/santa-rosa-wildfire_00000084_post_disaster.tif,santa-rosa/labels/santa-rosa-wildfire_00000084_post_disaster.json,santa-rosa_0084_polygons.pkl,218,207,TRUE,3271,0.001716614,96.72775269,FALSE,,2025-10-08T12:11:55+00:00,,FALSE,2017-06-21T19:09:01.000Z,GEOEYE01,1.6719055,0.41795498,5.6724772,132.81532,69.88837,64.90461
woolsey_0137,woolsey,woolsey/images/woolsey-fire_00000137_pre_disaster.tif,woolsey/labels/woolsey-fire_00000137_pre_disaster.json,woolsey/images/woolsey-fire_00000137_post_disaster.tif,woolsey/labels/woolsey-fire_00000137_post_disaster.json,woolsey_0137_polygons.pkl,100,52,TRUE,1964,0.251865387,98.15883636,FALSE,,2025-10-08T12:32:35+00:00,,FALSE,2018-10-23T18:51:02.000Z,WORLDVIEW02,1.9894955,0.49831286,15.396526,163.75761,42.6674,333.2746
